col_name,feature_importance_vals
age,0.38029398183580027
d1_spo2_min,0.12946942731326835
gcs_motor_apache,0.1226947919049244
d1_resprate_max,0.10648524013370073
d1_bun_max,0.1058859914576344
paired_elective_surgery_ventilated_apache,0.09500511341515554
d1_heartrate_max,0.09407804212935943
apache_3j_diagnosis,0.09376854652246629
d1_heartrate_min,0.09121393136436826
d1_bun_min,0.09113422669173296
d1_wbc_min,0.0842888406751655
gcs_verbal_apache,0.08363857438557808
d1_lactate_min,0.08160817536685944
gcs_eyes_apache,0.07071496972637842
urineoutput_apache,0.06825833381906658
paired_gender_icu_admit_source_apache_2_bodysystem,0.06486862184867817
d1_temp_max,0.06162136181680495
bmi,0.06083431901821988
d1_resprate_min,0.05989956193844632
pre_icu_los_days,0.057105645044991105
d1_temp_min,0.056815439871983814
d1_sysbp_min,0.05658695704365382
d1_sodium_max,0.05341072355196127
paired_apache_3j_bodysystem_apache_2_bodysystem,0.0505721999076422
h1_resprate_min,0.050015090708353964
paired_ventilated_apache_lymphoma,0.04991795078535086
d1_sysbp_noninvasive_min,0.04881806693911793
h1_mbp_invasive_min,0.04547621356203104
d1_glucose_min,0.04446785996719664
d1_platelets_min,0.04336766975815364
age_na,0.04263856128188519
d1_mbp_min,0.04208757442411979
d1_arterial_ph_min,0.0404538975012343
fio2_apache,0.03850253111403778
heart_rate_apache,0.03393711834113435
paired_apache_post_operative_ventilated_apache,0.03346123015054215
d1_sysbp_invasive_max,0.03280383770289128
d1_pao2fio2ratio_max,0.032765208916605865
map_apache,0.0325245611822594
paired_ventilated_apache_aids,0.031836033303049856
icu_admit_source,0.03140147248275819
d1_albumin_min,0.02876345529067681
h1_sysbp_min,0.027957778811797875
paired_gcs_unable_apache_ventilated_apache,0.02774407568378253
paired_icu_admit_source_apache_2_bodysystem,0.02741568977067139
d1_arterial_pco2_min,0.026890460464666737
h1_heartrate_min,0.026562177693741727
d1_albumin_max,0.02642856604755513
d1_hemaglobin_max,0.026145756315174462
d1_sysbp_max,0.025793854892939068
d1_creatinine_max,0.02442867129199278
apache_2_bodysystem,0.024289303928634473
h1_heartrate_max,0.023648121247833314
h1_sysbp_invasive_max,0.02303191302870591
d1_pao2fio2ratio_min,0.022977347651028265
d1_sysbp_noninvasive_max,0.022954225572622864
pao2_apache,0.02278784175054232
h1_arterial_ph_min,0.022767301923861002
h1_arterial_po2_min,0.0222989194929285
weight,0.02190663361370079
d1_hco3_max,0.021521118980438205
d1_hco3_min,0.021267529674399186
d1_lactate_max,0.021201908812533747
d1_arterial_ph_max,0.021046372401681463
temp_apache,0.020261914948318735
paired_icu_admit_source_apache_3j_bodysystem,0.020092218585090162
